id,text,split_,text_id,metadata__year,metadata__party,label
133885,"Mahila Sashaktikaran, to provide for the political empowerment and full educational, economic and legal equality for women ;",1,164,2004,INC,No Pledge
133886,We will : set up Gas Grids to make gas available to households and industry .,1,761,2014,BJP,Pledge
133887,For reaching this goal we will take effective steps to create a riot - free order and a terrorism - free India .,1,156,1999,BJP,No Pledge
133888,We will take the Mission to a new level through sustainable Solid Waste Management in every village .,1,276,2019,BJP,Pledge
133889,All controls on the free movement of farm commodities and processing of agricultural products and all regulations that depress incomes of farmers will be systematically eliminated .,1,241,2009,INC,Pledge
133890,The Court of Appeal will sit in multiple Benches of 3 judges each in 6 locations .,1,627,2019,INC,Pledge
133891,4 . We will provide skills training to 10 crore youth and provide them with employment opportunities over the next 5 years .,1,147,2014,INC,Pledge
133892,The Indian National Congress is committed to ensuring these projects are completed in a time - bound manner .,1,566,2014,INC,No Pledge
133893,All efforts will be made for the eradication of filariasis within five years .,1,682,2004,BJP,No Pledge
133894,"On the other side is an ideology of hate, bigotry and prejudice, an ideology that negates the very idea of India that has been cherished by us for centuries .",1,780,2014,INC,No Pledge
133895,A wider and more comprehensive spectrum of skills will be imparted .,1,228,2009,INC,No Pledge
133896,"For this, the government shall introduce time - bound programmes of needed administrative reforms including those for the Police and other Civil Services .",1,50,1999,BJP,Pledge
133897,We will also enact a comprehensive Broadcasting Bill to regulate private broadcasting and to protect Indian interests .,1,184,1999,BJP,Pledge
133898,"An initial set of identified schemes will be implemented, with public participation, by 2015 .",1,315,2004,BJP,Pledge
133899,The Indian National Congress has declared the sacred Ganga as a “national river” .,1,360,2009,INC,No Pledge
133900,A time to reestablish the core values that have made India unique .,1,1,2004,INC,No Pledge
133901,National scholarships for boys and girls belonging to scheduled castes and scheduled tribes will be further increased .,1,255,2009,INC,Pledge
133902,"More funds will be allocated to sports, and we will encourage the State Governments to fully discharge their responsibility in the promotion of sports .",1,442,2014,BJP,Pledge
133903,"Like it did for panchayats, the Congress will bring forward a Constitutional amendment to ensure the democratic, autonomous and professional functioning of all cooperatives .",1,220,2004,INC,Pledge
133904,"After agriculture, the retail sector is the largest employer of nearly four crore people .",1,333,2009,BJP,No Pledge
133905,"Key leverage technologies such as information technology, biotechnology and materials science and technology would be given special importance .",1,425,2009,BJP,No Pledge
133906,"We will implement a solid waste management plan in every habitation, village, town and city employing modern technology and machinery .",1,996,2019,INC,Pledge
133907,It means that we will facilitate the domestic industry to gain enough muscles to compete with the multinationals in the local and global markets .,1,57,1999,BJP,No Pledge
133908,"A new national movement for sanitation and hygiene, along the lines launched by Gandhijl during the Freedom movement will now be started and spearheaded by the Congress .",1,348,1999,INC,Pledge
133909,It also pledges a major programme for training of teachers and improving the physical environment in schools .,1,219,2009,INC,Pledge
133910,We appeal for the cooperation of all parties and all sections of society in this great endeavour .,1,203,1999,BJP,No Pledge
133911,"New international airport projects for Delhi, Mumbai, Bangalore and Hyderabad will be completed within the next three to four years and the Prime Minister will inaugurate them before August 15, 2008 .",1,290,2004,BJP,Pledge
