text_id,text,label,metadata__party,metadata__year,split_
773,10 . Protecting Indians overseas from exploitation or threats will remain a paramount concern of the Indian National Congress .,0,INC,2014,2
534,An ‘Extremely Backward Communities Development Bank’ will be set up for promoting skill enhancement through learn - and - earn schemes for their uplift .,1,BJP,2009,2
313,"Similarly, almost all remaining households have been provided with an electricity connection .",1,BJP,2019,2
444,We will expand this initiative further to take the number of beneficiaries of Mudra loans up to 30 crore .,1,BJP,2019,2
19,"In this sacred endeavour, the Congress has joined hands with like - minded political parties in different states .",0,INC,2004,2
249,"The Indian National Congress has always stood for its democratic, autonomous and professional functioning and this will be ensured by enacting appropriate laws, including making a Constitutional provision .",1,INC,2009,2
101,We are committed to annulling Article 35A of the Constitution of India as the provision is discriminatory against non - permanent residents and women of Jammu and Kashmir .,1,BJP,2019,2
518,"A suitable law, enabling micro - credit operations and nurturing them to be scaled up, will be enacted .",1,BJP,2004,2
253,"Education at all stages — primary, secondary and university — will be free in all respects for boys and girls belonging to dalit and adivasi communities .",1,INC,2009,2
630,The Indian National Congress is committed to providing clean cooking fuel across the country in an accelerated manner in order to address this .,0,INC,2014,2
147,The party believes in the principle of unity in diversity .,0,BJP,2014,2
642,We will increase the strength of the diplomatic and allied cadres to keep pace with our increasing global engagement and enhanced stature of India in the world .,0,BJP,2019,2
616,"provide tax incentives for investments in research and development, geared towards indigenization of technology and innovation .",1,BJP,2014,2
117,Most of the plans had been finalized before the Congress demitted office .,0,INC,2004,2
963,The manifesto is an opportunity for a political party to present its agenda for the future embodying the loftiest hopes and noblest aspirations of the people .,0,INC,1999,2
117,It has launched the National Rural Health Mission which has already made a positive impact by improving the quality and accessibility of primary health care in villages .,0,INC,2009,2
343,"There shall be a special survey, which will be undertaken once every five years to estimate, on select development indicators, the gap in the development of these groups .",1,INC,2014,2
450,Launch a National Digital Highway Development Project to bring affordable broadband Internet connectivity to every village .,1,BJP,2009,2
256,Dispense with clubbing of agricultural income with other sources of income for determining tax liability on other income .,1,BJP,2009,2
863,"PHCs will provide all primary health services, including preventive measures and wellness services, and become referral centres for serious medical cases .",0,INC,2019,2
150,The recently established National Security Council will advise the government in this regard and also in the establishment of a credible nuclear deterrence .,0,BJP,1999,2
948,Congress will work with State Governments to ensure that a child receives a good quality education and that this is reflected in learning outcomes .,0,INC,2019,2
69,"It is, as has become painfully evident, not confined to any community or any political persuasion .",0,INC,2009,2
481,"9 . We will set up a “National Panchayati Raj Commission”, with branches in each State and Union Territory, so that :",1,INC,2014,2
354,The BJP will set up an experts committee to deal with the following issues :,1,BJP,2009,2
18,We aspire to be the world's third largest economy by 2030 .,0,BJP,2019,2
197,Deployment of broadband in every village would be a thrust area .,1,BJP,2014,2
210,The Credit Guarantee Scheme of the Government of India is an important component wherein loans to MSME are guaranteed .,1,BJP,2019,2
572,We will offer higher interest rates on fixed deposits by divyangs .,1,BJP,2019,2
700,"Working of regulatory bodies, which oversee medical education in the country, will be reviewed to improve standards .",0,BJP,2004,2
503,MGNREGA will also be harnessed to support the construction of poultry shelters and water bodies for fisheries .,1,INC,2014,2
36,We reach out to the minorities and even at the cost of repetition proclaim that we will safeguard the rights as enshrined in our Constitution .,0,BJP,1999,2
241,3 . Announce a detailed Jobs Agenda to ensure that we create 10 crore new jobs and entrepreneurship opportunities for our youth .,1,INC,2014,2
107,"India will engage with the world in the global war on terror while not compromising on its domestic interests, primarily protecting citizens from the ravages of terrorism .",0,BJP,2009,2
738,Saving Rama Setu is to save the vast thorium deposits which are the future source of our energy .,0,BJP,2009,2
523,We propose to take strong measures to promote the manufacturing industry .,0,INC,2014,2
216,The Congress will ensure the fullest implementation of minimum wage laws for farm labour .,1,INC,2004,2
288,The Indian National Congress will bring school curricula of various communal and sectarian organizations — regardless of their affiliation —under the regulatory purview of an empowered national body .,1,INC,2009,2
140,The present system of setting Minimum Support Prices by the Commission on Agricultural Costs and Prices will be reviewed to further benefit all kisans .,0,BJP,2004,2
404,"A ‘Vishwakarma Initiative’ will be launched for craftspersons and rural artisans to preserve their traditional skills and knowledge, upgrade them, and adapt to new challenges .",1,BJP,2004,2
44,"We want an India which we all feel part of, in whose future we all have a stake .",0,BJP,1999,2
775,"But at the same time, governance in these states has to improve vastly .",0,INC,1999,2
890,"The NDA Government envisions a future that rests on a cooperative multipolar world order, with India as one of the poles .",0,BJP,2004,2
514,"Continuing our work, we will legislate a bill to prohibit and eliminate practices such as Triple Talaq and Nikah Halala .",1,BJP,2019,2
146,"Flawed design, inefficient execution, insufficient capacity and poor maintenance of infrastructure have dragged India’s growth rate down .",0,INC,2019,2
140,The sustained campaign led by the Congress President has resulted in the declaration of Gandhi Jayanti as International Day of Non - Violence by the United Nations .,0,INC,2009,2
200,"Along the lines of NREGA, we will enact a National Food Security Act .",1,INC,2009,2
675,21 Ensure the LPG gas cylinder connection to all poor rural households .,0,BJP,2019,2
164,a . We will enact central legislation on the Scheduled Castes and Scheduled Tribes Sub Plans to ensure focused spending of funds on weaker sections .,1,INC,2014,2
88,"Launch a massive programme to detect, detain and deport illegal immigrants .",1,BJP,2009,2
